Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
3.4 kb mitochondrial DNA deletion,DNA,Normalised value (?Cq) relative to 18S rRNA reference gene,Blood plasma,Diagnostic,Detects significant prostate cancer in PSA 'grey zone',Prostate Cancer,"AUC 0.84, sensitivity 87%, specificity 68% for detection of CS cancers","Creed Jennifer, et al. World Journal of Urology (2018)",2018,"UK, Canada, USA",Newcastle; Toronto; West Palm Beach
Albumin-to-fibrinogen ratio (AFR),Protein,Automatic hematology analyzer/OLYMPUS AU5400,Serum and Plasma,Prognostic,Predicts clinical outcome/overall survival,Non-Small Cell Lung Cancer (NSCLC),Pretreatment low AFR associated with increased risk of death (adjusted HR 2.31),"Li Shu-Qi, et al. Cancer Medicine (2018) 7(4):1221–1231",2018,China,Jiangxi
"Specific IgG (TRP1, TRP2, gp100, MelanA/MART1, NY-ESO-1)",Protein (Antibodies),ELISA assays,Serum,Predictive,Predictive markers for response and survival to checkpoint inhibitors,Metastatic Melanoma,Higher antibody levels for NY-ESO-1 and MelanA/MART1 correlated with longer OS and PFS,"Fässler Mirjam, et al. Journal for Immunotherapy of Cancer (2019)",2019,Switzerland,St. Gallen; Zurich
hsCRP,Protein,Log-transformed nano-drop evaluation (inferred),Plasma,Predictive,Predicts radiotherapy-induced early adverse skin reactions,Breast Cancer,Grade 3+ or 4+ skin toxicity; skewed distribution by race and BMI,"Hu Jennifer J, et al. Journal of Clinical Oncology (2018) 36(24):2473-2482",2018,USA,"Miami, FL"
PD-L1 expression,Protein,Immunohistochemistry (IHC),Tumor tissue,Predictive,Correlates with response to anti-PD-1 antibody,Malignant Melanoma,Clinical response and patient selection criterion for immunotherapy,"Kitano Shigehisa, et al. Frontiers in Oncology (2018) 8:270",2018,Japan,Tokyo
CA19-9 and ApoA2 isoforms (ApoA2-ATQ/AT),Protein,ELISA,Plasma,Diagnostic,Detection markers for pancreatic cancer,Pancreatic Cancer (PDAC),36% detection sensitivity at 98% specificity when samples taken >6-18 months before diagnosis,"Honda Kazufumi, et al. International Journal of Cancer (2019) 144(8): 1877–1887",2019,Japan and Germany,Tokyo; Heidelberg
"Circulating T cell subsets (Treg, CD4+, CD8+)",Other (Cell counts),Flow cytometry,Whole blood,Prognostic,Association with clinical outcome of anti-VEGF-based treatment,Metastatic Colorectal Cancer (mCRC),High T cell count correlated with improved PFS (HR 0.22) and OS (HR 0.06),"Bencsikova Beatrix, et al. BMC Cancer (2019)",2019,Czech Republic,Brno
"CCL2/MCP1, CCL15/MIP1D, CCL27/CTACK, sTNFR2",Protein,Luminex bead-based assays,Plasma,Predictive,Association with cancer risk,Colorectal Cancer (CRC),Higher quantiles significantly associated with higher risk of CRC (Hazard Ratios),"Song Minkyo, et al. International Journal of Cancer (2018) 143(11): 2767–2776",2018,Japan,(Multiple Registries)
Insulin-like growth factor I (IGF-I),Protein,Log-transformed serum analysis,Serum,Predictive,Relation to melanoma risk,Melanoma,No evidence found for association between circulating IGF-I and melanoma risk,"Bradbury Kathryn E, et al. International Journal of Cancer (2019) 144, 957–966",2019,10 European Countries,(Multi-regional)
microRNA-signature classifier (MSC),RNA (miRNA),RT-qPCR (24 miRNA algorithm),Plasma,Prognostic,Prognostic marker for treatment outcome with ICIs,Advanced NSCLC,MSC high risk level patients showed zero response to immunotherapy; association with OS,"Boeri Mattia, et al. Clinical Cancer Research (2019) 25(7): 2166–2173",2019,Italy,Milan
GPC3-positive CTCs,Other (Cells),Immuno-magnetic selection and flow cytometry,Peripheral blood,Prognostic,Prediction of microscopic portal vein invasion and patient prognosis,Hepatocellular Carcinoma (HCC),Significant reduction in disease-free survival in patients with ?5 CTCs (p=0.015),"Hamaoka Michinori, et al. PLOS ONE (2019) 14(5): e0217586",2019,Japan,Hiroshima
CDA enzymatic activity,Protein,Spectrophotometric assay,Plasma,Prognostic,Prognostic biomarker for gemcitabine/platinum treatment,Advanced NSCLC,Lower overall survival (6.0 months vs 19.0 months) for patients with high CDA activity,"Tibaldi Carmelo, et al. British Journal of Cancer (2018) 119:1326–1331",2018,Italy,Lucca
MDM2 Amplification,DNA,Massive parallel DNA sequencing (proprietary variant calling),Tumor tissue,Diagnostic/Predictive,Diagnostic biomarker and utility to guide treatment,Dedifferentiated Liposarcoma (DDLPS),Correlation with poor outcome/time to tumor recurrence,"Bill Kate Lynn J, et al. The Oncologist (2019)",2019,USA,"Columbus, OH"
Evolutionary Subtypes,DNA (Mutations/SCNAs),Multi-region molecular profiling (targeted Driver Panel),Primary tumor regions (renal tissue),Prognostic,resolvers evolutionary features underpinning diverse clinical phenotypes,Clear-cell Renal Cell Carcinoma (ccRCC),"Correlation with tumor size, grade, and disease progression patterns","Turajlic Samra, et al. Cell (2018) 173, 595–610",2018,UK,London
"AMACR, HMWCK and P63",Protein,Immunohistochemical staining,Prostate tissue,Diagnostic,Utility in combating diagnostically challenging cases,Prostate Neoplasm,Sensitivity 90% and specificity 100% for AMACR in distinguishing malignancy,"Rathod Santosh G, et al. Journal of Family Medicine and Primary Care (2019) 8:2651-5",2019,India,Maharashtra
DCE-MRI Imaging Parameters,Other (Imaging),Dynamic Contrast-Enhanced MRI,Prostate tissue (In situ scan),Prognostic,tool for early diagnosis and treatment decision support,Prostate Cancer,Correlation with PSA levels and pathology results,"Wu Xingchen, et al. Contrast Media & Molecular Imaging (2018)",2018,Finland,Tampere
ER? promoter methylation,DNA,Methylation-specific PCR (MSP),Triple-negative breast cancer tissue,Predictive,Predicts outcome of cisplatin resistance,Triple-negative Breast Cancer (TNBC),Positive methylation associated with lower PFS and Overall Survival rates,"Xu Junnan, et al. Oncology Letters (2018)",2018,China,Shenyang
ZNF217 mRNA expression,RNA,Real-time quantitative PCR (RT-qPCR),Frozen breast tumor biopsies,Predictive,Predicts clinical response to neoadjuvant endocrine therapy,ER+ Breast Cancer,Patients with ?Ki-67 ?0 were responders; high ZNF217 associated with poor RFS,"Vendrell Julie A, et al. Frontiers in Pharmacology (2018)",2018,France and Hungary,Montpellier; Budapest
Survivin and UBC Rapid,Protein,New Sandwich ELISA / standard UBC Rapid,Urine (urinary pellet),Diagnostic,"Detection of bladder cancer, particularly high-grade tumors",Bladder Cancer,Combination reached 82% sensitivity for high-grade tumors at 95% specificity,"Gleichenhagen Jan, et al. Int. J. Mol. Sci. (2018) 19, 226",2018,Germany,Bochum; Neuss
Serum TK1 activity,Protein,DiviTum assay (refined ELISA-based),Serum,Predictive,Evaluates treatment effectiveness and predicts relapse,Canine Non-Hodgkin Lymphoma (NHL),TK1 increase predicted relapse 4 weeks before clinical evidence,"Boyé Pierre, et al. Journal of Veterinary Internal Medicine (2019) 33: 1728–1739",2019,France,Villeneuve d'Ascq
HPV E6 and E7 oncoproteins,Protein,Standard detection methods (quantification),Cervical samples,Diagnostic,Diagnosis of cervical precancer and cancer,Cervical Cancer,Feasibility for quantifiable clinical screening,"Zhang, et al. The Journal of International Medical Research (2018)",2018,(Not Specified),(Not Specified)
Alpha-fetoprotein (AFP),Protein,Architect Ci8200 automatic analyzer,Serum,Predictive,Improved HCC risk prediction via genetic correction (SNPs rs12506899/rs2251844),Hepatocellular Carcinoma (HCC),Genetic corrected AFP elevated AUC from 0.611 to 0.726,"Wang Ke, et al. Cancer Medicine (2018) 7(6):2691–2698",2018,China,"Wuhan, Hubei"
"Assorted methylation (HOXA9, ONECUT2, PCDH17, PENK, TWIST1, VIM, ZNF154)",DNA,High resolution melting-curve (HRM-PCR) assay,Urine (cell pellets),Diagnostic,Accurate prediction of bladder cancer in hematuria patients,Bladder Cancer,AUC values of 0.894 and 0.851 in respective study cohorts,"Zhang Ning, et al. Journal of Cancer (2019) 10(26): 6761-6766",2019,China,Shanghai
CNA (Copy Number Alterations),DNA,Low-coverage whole-genome sequencing (NIPT platform),Blood plasma,Prognostic,Predictive marker of patient outcome and recurrence,Gynaecological Cancer,CNA-positive patients had significantly poorer prognosis for PFS and OS,"Nakabayashi Makoto, et al. Scientific Reports (2018)",2018,Japan,Tokyo
MiRNA-513a-5p,RNA,RTq-PCR,Leukocytes (Buffy coats),Prognostic,Constitutes a risk factor and poor prognosis indicator,Breast Cancer,Higher values associated with poor prognosis and PR expression inhibition,"Muti Paola, et al. Carcinogenesis (2018) 39(2): 98–108",2018,Italy and Canada,Rome; Milan; Hamilton
"Metabolite profiling (PC, LysoPC subsets)",Other (Metabolites),Nontargeted LC-MS metabolite profiling,EDTA plasma,Diagnostic,Potential markers for febrile neutropenia,Hematological patients,Identified significant fold changes in PC(16:0/22:6) and LysoPC(18:2/0:0),"Lappalainen Marika, et al. Disease Markers (2018)",2018,Finland,Kuopio
Optical biomarker sigma (?),Other (Optical scattering),MDSFR spectroscopy,Buccal mucosa (In situ scan),Diagnostic,Differentiates ESCC patients from controls (field cancerization),Esophageal Cancer (ESCC),AUC of 75.7%; sensitivity 66.7% and specificity 83.3%,"Bugter Oisín, et al. Clinical and Translational Gastroenterology (2018)",2018,Netherlands,(Not Specified)
Serum Tissue Factor (TF),Protein,ELISA,Serum,Prognostic,Adverse prognostic factor correlated with survival,Renal Clear Cell Carcinoma,Decrease in serum TF after surgery; correlation with tumor size (p=0.03),"Silva Daniel D'Oliveira, et al. Int. Braz. J. Urol. (2018) 44(1): 38-44",2018,Brazil,(Not Specified)
"MRI Texture Analysis (GOH, GLCM, etc)",Other (Imaging feature),IBEX software extraction from MRI (T2WI/ADC),Cervix (In situ scan),Diagnostic,Identifies high risk of recurrence,Advanced Cervical Cancer,Early identification of heterogeneous therapy responsiveness,"Meng Jie, et al. Scientific Reports (2018)",2018,(Not Specified),(Not Specified)
Cell-Free DNA (cfDNA),DNA,Spectrophotometric evaluation (NanoDrop 2000),Cell-free plasma,Predictive,Predicts treatment response and local control after RT,Hepatocellular Carcinoma (HCC),High post-RT cfDNA associated with significantly lower IHFF and LC rates,"Park Sangjoon, et al. Yonsei Medical Journal (2018) 59(4): 470-478",2018,Korea,Seoul
"EGF, HGF, Ang-2, CXCL12, CCL8, and BMP-9",Protein,Luminex-based multiplex assays and enzyme-linked immunosorbent assays,Sera (serum),Diagnostic and Predictive,Prediagnostic levels associated with future MM risk and MGUS-to-MM progression,"Multiple myeloma (MM) and its precursor, monoclonal gammopathy of undetermined significance (MGUS)",Odds ratios for MM risk and progression; AUC 0.71 with composite score; median 8.3 years follow-up,"Hofmann et al., 2020",2020,USA,-
HPV (associated DNA and RNA),Gene (DNA/RNA),Droplet digital PCR (ddPCR),Plasma,Diagnostic,Detection of tumoral molecular elements and clinical progress monitoring,Oropharyngeal squamous cell carcinoma (OPCSCC),"RECIST 1.1 criteria (CR, PR, SD, PD); assessed at baseline and 6-22 weeks","Nguyen et al., 2020",2020,Australia,-
circular RNA_0018289,Gene (RNA),RT-qPCR assay,Tumor tissue and paired adjacent tissue,Diagnostic and Prognostic,Separate tumor from adjacent tissue; predict worse survival,Cervical cancer,DFS (P=0.005) and OS (P=0.015); AUC 0.907 for distinguishing tissue; surgical resection cohort 2015-2019,"He et al., 2020",2020,China,-
Cancer antigen 19-9,Protein,-,-,-,Associated with diabetes risk,Diabetes mellitus,"Multivariate adjusted hazard ratios; 12,700 participants; SD-based risk","Li et al., 2020",2020,China,Hubei
Auto-antibodies to p53,Other (Auto-antibodies),Multiplex serology,Serum,Diagnostic,Predictor of short-term risk; early detection,Colorectal cancer (CRC),"Odds ratio 2.27 for diagnosis <4 years after blood draw; 4,063 cases in consortium","Butt et al., 2021",2021,USA,-
Metabolic tumor volume (MTV),Other (Imaging index),18F-FDG PET/CT scans,In situ scan,Prognostic,Strong independent prognostic factor for OS; predicts early tumor drug progression,Metastatic non-small cell lung cancer (NSCLC),Overall survival (OS); median follow-up ?6 months; patients receiving Nivolumab or Pembrolizumab,"Chardin et al., 2020",2020,France,Nice
"Soluble PD-1, PD-L1, and BTN3A1",Protein,Specific homemade ELISA assays,Plasma,Predictive,Predict response to nivolumab treatment,Metastatic clear cell renal cell carcinoma (mccRCC),Progression-free survival (PFS); Best overall response (BOR) by RECIST 1.1; Objective response (OR) >20%,"Incorvaia et al., 2020",2020,Italy,Palermo and Pavia
Long non-coding RNA GAS5,Gene (RNA),quantitative PCR (qPCR),Plasma,Diagnostic,Complement marker for the detection of mesothelioma in liquid biopsies,Malignant mesothelioma,Sensitivity increase from 64% to 73% in a panel; AUC 0.86; asbestos-exposed cohort,"Weber et al., 2020",2020,Germany,Bochum and Berlin
BCSC markers (CD44 & CD24),Protein,Immunohistochemistry (IHC),Formalin-fixed paraffin-embedded tumor tissues,Prognostic,Evaluate effect on survival and response,Metastatic breast cancer,"PFS, OS, and tumor response; 76 de novo patients; minimum 400 cells counted per field","Elbaiomy et al., 2020",2020,Egypt,Mansoura
Circulating tumor cells (CTCs),Other (Whole cells),CellSearch system,Peripheral blood,Prognostic,Identify patients at risk for recurrence,"Ovarian, fallopian tube and peritoneal cancer",OS and PFS; Hazard ratio 3.439 for OS; 495 primary ovarian cancer patient baseline analysis,"Banys-Paluchowski et al., 2020",2020,Germany,"Hamburg, Düsseldorf, Pinneberg"
LINC00299 DNA methylation,Gene (DNA),MethyLight droplet digital PCR (ddPCR),Peripheral blood leukocyte (PBL) DNA,Diagnostic,Association with risk in young women; potential circulating biomarker,Triple-negative breast cancer (TNBC),Odds ratios for risk; P=0.001 in age 22-46 group; 154 TNBC cases in GS cohort,"Manoochehri et al., 2020",2020,UK,London
Circulating genetically abnormal cells (CACs),Other (Genetically abnormal cells),Antigen-independent fluorescence in situ hybridization (FISH),Peripheral blood,Diagnostic,Noninvasive biomarker for early diagnosis,Non-small cell lung cancer (NSCLC),AUC 0.769 for stage I; 67.2% sensitivity and 80.8% specificity; patients with pulmonary nodules <30 mm,"Liu et al., 2020",2020,China,Tianjin
"Dynamics of serum tumor markers (CEA, CA125, CYFRA21-1, SCC-Ag)",Protein,Electrochemical luminescence and chemiluminescent microparticle immunoassay,Blood,Prognostic,Associated with efficacy and prognosis,Advanced non-small cell lung cancer (NSCLC),"ORR, PFS, and OS; meaningful improvement defined as ?20% decrease after 6 weeks of ICIs","Zhang et al., 2020",2020,China,Beijing
Methylated circulating tumor DNA (NPY gene),Gene (DNA),Droplet Digital PCR (ddPCR),Plasma,Prognostic,Early identification of treatment benefit and resistance,Metastatic colorectal cancer,PFS and OS; assessed at baseline and after first cycle of chemotherapy; HR 0.48 for PFS,"Thomsen et al., 2020",2020,Denmark,Vejle
Tumor pyruvate kinase M2 isoform (tM2-PK),Protein,ELISA,Plasma and stool,Diagnostic,Non-invasive assay to diagnose cancer and adenomatous polyps,Colorectal cancer (CRC) and adenomatous polyps,AUC 0.969 (stool) and 0.975 (plasma) for tumor detection; samples from specialty hospital and oncology clinic,"Rigi et al., 2020",2020,Iran,Mashhad and Sabzevar
19p13.11 copy number loss and KMT2A missense mutation,Gene (DNA),Whole-exome sequencing (WES),ESCC tissue,Predictive,Predict outcome (pCR) of nCRT,Esophageal squamous cell carcinoma (ESCC),Pathologic complete response (pCR); 27 tissue samples analyzed pre and post nCRT,"He et al., 2020",2020,China,Chengdu
MiR-100,Gene (RNA),Quantitative qRT-PCR,Tumor tissue,Predictive and Prognostic,Predictor of endocrine responsiveness and survival,Operable luminal breast cancer,CCCA (post-treatment Ki67 ?2.7%); Overall survival in METABRIC dataset; 90 evaluable patients,"Petrelli et al., 2020",2020,Italy,Candiolo
MicroRNA-215,Gene (RNA),Real-Time qPCR (RT-qPCR),Plasma,Diagnostic,Evaluate role as diagnostic tool,Hepatocellular carcinoma (HCC),ROC performance (AUC 0.93 for HCC vs. Control); correlation with focal lesion size (P<0.001),"El Mahdy et al., 2019",2019,Egypt,Cairo and Menoufia
